PMC,Detector,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
30,B,0.4961,0.0349,24.2867,0.0281,0.6876,0.0,35.3,9.4,54411.6,37.5,1393.8,0.0,407.86,357.48
31,A,0.4143,0.0126,26.3345,0.0256,0.5572,0.0,28.7,3.3,57205.3,32.9,1088.3,0.0,407.8,354.97
31,B,0.4584,0.0457,24.5843,0.0051,0.4707,0.0097,32.8,12.4,54922.1,6.7,948.7,7.4,407.8,354.97
32,A,0.4523,0.0546,23.4818,0.0,0.0951,0.0959,30.4,13.8,48629.8,0.0,178.1,68.9,407.76,352.48
32,B,0.0826,0.0,17.5822,0.0235,0.031,0.0782,7.2,0.0,48008.2,37.4,75.5,75.6,407.76,352.48
33,A,0.2468,0.0139,3.1616,0.0,0.1125,0.3648,18.6,3.7,7192.6,0.0,268.1,274.0,407.7,349.98
33,B,0.2043,0.022,3.0787,0.0,0.0714,0.324,15.8,6.1,7154.7,0.0,171.4,251.5,407.7,349.98
34,A,0.2313,0.0,2.8408,0.0484,0.3556,0.437,15.9,0.0,6169.3,77.4,833.1,302.7,407.65,347.49
34,B,0.3388,0.0,2.7793,0.0,0.2693,0.4491,24.9,0.0,6272.0,0.0,672.4,319.4,407.65,347.49
35,A,0.3318,0.0231,17.9094,0.0044,0.3091,0.0981,22.7,6.0,38207.8,5.6,598.5,72.1,407.6,345.01
35,B,0.4603,0.0143,17.166,0.0176,0.2472,0.1211,33.2,3.9,38500.2,23.6,505.9,93.7,407.6,345.01
36,A,0.4609,0.0383,28.5839,0.0083,0.1271,0.0016,32.2,10.1,61646.8,10.5,245.9,1.2,407.55,342.52
36,B,0.4937,0.0512,27.9628,0.0462,0.1637,0.0,34.0,13.3,59588.8,57.9,313.6,0.0,407.55,342.52
37,A,0.4817,0.0659,27.1199,0.0,0.0144,0.0,35.1,18.1,60758.6,0.0,29.1,0.0,407.5,340.04
38,A,0.4478,0.0269,26.9065,0.0285,0.3855,0.0,31.1,7.1,58210.7,36.4,750.1,0.0,407.46,337.57
38,B,0.6943,0.0333,26.8016,0.0774,0.3867,0.0123,49.5,8.9,59373.2,102.0,775.8,9.3,407.46,337.57
39,A,0.3341,0.0695,25.4116,0.0319,0.5697,0.0144,23.6,18.7,56303.0,41.9,1136.7,11.0,407.4,335.1
39,B,0.4135,0.0242,25.472,0.0241,0.5863,0.0235,29.5,6.5,56885.6,32.0,1180.9,18.0,407.4,335.1
40,A,0.3436,0.0295,25.4003,0.0308,0.6249,0.0,23.9,7.8,55599.0,39.9,1230.4,0.0,407.36,332.64
40,B,0.2312,0.0336,24.9738,0.0762,0.5844,0.0124,16.6,9.2,56360.5,101.7,1182.9,9.7,407.36,332.64
41,A,0.4754,0.0659,22.2279,0.1144,1.329,0.0067,32.7,17.1,49093.9,154.6,2678.8,4.9,407.3,330.17
41,B,0.2743,0.0676,21.5132,0.0834,1.1908,0.0,19.3,18.2,48609.4,114.1,2439.5,0.0,407.3,330.17
42,A,0.3891,0.0464,21.9909,0.143,1.254,0.007,26.7,12.1,48488.2,192.2,2512.9,5.2,407.26,327.72
42,B,0.1388,0.0061,21.6191,0.1261,1.2627,0.0075,9.7,1.6,48637.3,171.5,2560.1,5.7,407.26,327.72
43,A,0.2543,0.0128,22.9204,0.1326,0.9856,0.0171,17.7,3.4,50941.5,177.2,1975.6,13.0,407.2,325.26
43,B,0.5287,0.0439,22.6223,0.1102,0.9818,0.0139,37.1,11.6,50414.7,149.0,1991.4,10.4,407.2,325.26
44,A,0.2868,0.0213,25.6211,0.0479,0.5332,0.0022,19.9,5.6,55780.7,61.7,1041.2,1.6,407.15,322.81
44,B,0.3098,0.0,24.7356,0.0716,0.5632,0.0066,22.2,0.0,55757.6,95.6,1138.7,5.1,407.15,322.81
45,A,0.4359,0.0482,25.6269,0.0233,0.5023,0.0,31.3,13.1,57599.4,31.1,1016.8,0.0,407.11,320.37
45,B,0.4508,0.0,23.4258,0.0396,0.4694,0.0047,32.3,0.0,52631.0,52.8,950.2,3.6,407.11,320.37
46,A,0.6479,0.0065,32.9366,0.012,0.0767,0.0,40.3,1.5,63010.7,13.4,131.6,0.0,407.06,317.93
46,B,0.5192,0.054,28.8916,0.0,0.0511,0.0,36.2,14.2,62073.7,0.0,98.7,0.0,407.06,317.93
47,A,0.7711,0.0,29.7392,0.0065,0.1591,0.0,51.7,0.0,61415.7,8.0,296.5,0.0,407.01,315.49
47,B,0.3578,0.023,24.876,0.0,0.1223,0.004,25.8,6.3,55593.7,0.0,244.9,3.1,407.01,315.49
