PMC,Detector,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
598,A,0.5535,0.0492,30.8733,0.0035,0.1069,0.0,35.8,12.0,61503.8,4.0,191.3,0.0,393.19,377.71
598,B,0.4898,0.0342,28.1423,0.0,0.0903,0.0,34.4,9.1,60978.9,0.0,175.6,0.0,393.19,377.71
599,A,0.3457,0.0095,26.9238,0.0,0.0377,0.0057,25.1,2.6,60267.4,0.0,75.4,4.5,393.15,375.17
599,B,0.6277,0.0524,31.7021,0.0,0.0165,0.0,40.0,12.6,61997.7,0.0,29.0,0.0,393.15,375.17
600,A,0.0443,0.0,18.4997,0.0,0.0726,0.1508,4.6,0.0,59822.1,0.0,210.1,174.5,393.11,372.64
600,B,0.1588,0.0282,26.917,0.0,0.0912,0.0,11.2,7.6,58570.8,0.0,176.8,0.0,393.11,372.64
601,A,0.3318,0.0768,27.9415,0.0,0.1105,0.0036,23.8,21.0,62018.3,0.0,219.7,2.8,393.07,370.11
601,B,0.4367,0.0275,27.1714,0.0,0.1223,0.0,31.5,7.5,60557.6,0.0,244.5,0.0,393.07,370.11
602,A,0.5434,0.066,27.0236,0.0,0.0364,0.0181,39.6,18.1,60570.1,0.0,73.5,14.0,393.03,367.59
602,B,0.4523,0.0079,29.1593,0.0195,0.0569,0.0,30.8,2.0,61384.0,24.0,107.1,0.0,393.03,367.59
603,A,0.3611,0.0316,27.8374,0.0,0.0172,0.0,25.5,8.5,60804.6,0.0,33.6,0.0,392.99,365.07
603,B,0.3937,0.0223,27.3031,0.0,0.0325,0.0,28.9,6.2,61891.2,0.0,65.9,0.0,392.99,365.07
604,A,0.7657,0.1031,27.0499,0.038,0.126,0.0,51.0,26.0,55475.8,46.2,234.4,0.0,392.96,362.56
604,B,0.2034,0.0447,27.6629,0.0,0.0631,0.0,14.7,12.4,61930.8,0.0,125.9,0.0,392.96,362.56
605,A,0.3343,0.0497,28.5535,0.0,0.0885,0.0,23.6,13.4,62333.9,0.0,172.7,0.0,392.92,360.05
605,B,0.2957,0.0631,26.9568,0.0,0.0273,0.0219,22.4,18.2,62917.5,0.0,57.1,17.9,392.92,360.05
606,A,0.1888,0.0177,27.2308,0.0,0.052,0.0,13.9,5.0,62221.9,0.0,105.8,0.0,392.88,357.54
606,B,0.461,0.063,27.435,0.0,0.0467,0.0,33.5,17.4,61523.0,0.0,94.0,0.0,392.88,357.54
607,A,0.307,0.0,26.8294,0.0,0.173,0.0,21.4,0.0,58014.0,0.0,334.2,0.0,392.84,355.04
607,B,0.2334,0.0573,26.5326,0.0,0.2044,0.0,17.1,16.1,60367.0,0.0,415.7,0.0,392.84,355.04
608,A,0.3724,0.0761,24.3557,0.0,0.2733,0.0058,26.5,20.6,53952.2,0.0,544.8,4.5,392.8,352.54
608,B,0.3736,0.0148,26.2588,0.0,0.2865,0.0,27.1,4.1,59090.2,0.0,578.1,0.0,392.8,352.54
609,A,0.4026,0.0461,26.3671,0.0,0.1912,0.0153,28.2,12.2,57211.6,0.0,372.5,11.5,392.77,350.05
609,B,0.3668,0.017,25.7562,0.0,0.1585,0.0,26.3,4.6,57280.6,0.0,315.8,0.0,392.77,350.05
610,A,0.4717,0.0767,28.3777,0.0,0.2352,0.0,32.2,19.8,60101.9,0.0,447.7,0.0,392.73,347.56
610,B,0.6365,0.0168,22.4897,0.0454,0.3134,0.0,44.1,4.3,48329.7,58.1,611.4,0.0,392.73,347.56
611,A,0.4934,0.0125,24.6445,0.1811,0.7876,0.0,34.6,3.3,54607.1,240.9,1577.2,0.0,392.69,345.07
611,B,0.5303,0.0256,23.8297,0.1619,0.7739,0.0201,37.9,6.9,53753.4,219.9,1583.2,15.3,392.69,345.07
612,A,0.4955,0.0513,21.9379,0.1338,0.9786,0.0048,34.2,13.3,48241.2,178.5,1956.6,3.6,392.65,342.59
612,B,0.3088,0.0418,21.8127,0.1717,1.0445,0.032,21.8,11.3,49279.6,235.0,2138.1,24.4,392.65,342.59
613,A,0.2998,0.0,23.2596,0.0488,0.507,0.0024,20.9,0.0,50983.7,63.2,997.0,1.8,392.61,340.1
613,B,0.1664,0.0728,23.7944,0.1067,0.5721,0.0155,12.0,20.1,53960.9,143.4,1162.9,12.1,392.61,340.1
614,A,0.4735,0.0378,24.5485,0.0076,0.1666,0.0186,33.6,10.1,53990.6,9.8,329.9,14.2,392.57,337.64
614,B,0.1772,0.0207,26.1302,0.0424,0.2198,0.0015,12.7,5.7,58344.1,55.4,437.4,1.2,392.57,337.64
615,A,0.3324,0.0335,26.2768,0.0,0.1515,0.0,23.0,8.8,56232.1,0.0,290.2,0.0,392.54,335.17
615,B,0.3203,0.0502,27.0601,0.0217,0.1504,0.0,23.2,13.8,60641.2,28.5,301.6,0.0,392.54,335.17
616,A,0.3479,0.0559,26.6419,0.0026,0.1704,0.0119,24.5,15.0,58184.5,3.3,333.7,9.1,392.5,332.7
616,B,0.335,0.0524,26.5342,0.0,0.1802,0.0,24.2,14.5,59577.4,0.0,362.1,0.0,392.5,332.7
617,A,0.4469,0.0581,25.2875,0.0,0.2113,0.003,31.4,15.5,55112.0,0.0,414.2,2.3,392.47,330.25
617,B,0.4842,0.0243,26.8168,0.0051,0.2406,0.0077,34.8,6.6,59806.0,6.7,482.6,6.0,392.47,330.25
618,A,0.3037,0.0181,25.7949,0.0176,0.1801,0.0,21.5,4.9,56592.2,22.7,353.3,0.0,392.42,327.78
618,B,0.2837,0.0338,24.1658,0.0177,0.1604,0.0033,20.4,9.3,54013.0,23.2,320.6,2.6,392.42,327.78
619,A,0.2589,0.0,22.9688,0.0648,0.5979,0.0,18.1,0.0,50562.4,84.5,1180.5,0.0,392.39,325.33
619,B,0.4572,0.0179,23.9708,0.0582,0.6604,0.0033,32.8,4.9,54052.5,78.3,1344.9,2.6,392.39,325.33
620,A,0.2563,0.0071,23.0595,0.0098,0.3091,0.0046,18.0,1.9,50510.7,12.6,605.9,3.5,392.35,322.88
620,B,0.2703,0.0302,25.2453,0.0299,0.3504,0.0037,19.3,8.2,56229.0,39.2,699.1,2.9,392.35,322.88
621,A,0.1597,0.0,23.3048,0.0,0.2462,0.0039,11.3,0.0,51455.4,0.0,484.6,3.0,392.31,320.43
621,B,0.5726,0.012,25.7433,0.0,0.307,0.0,41.2,3.2,57448.9,0.0,618.0,0.0,392.31,320.43
622,A,0.3577,0.0353,23.099,0.054,0.5968,0.0,25.2,9.4,51132.4,71.2,1191.1,0.0,392.27,317.99
622,B,0.1964,0.0,24.803,0.0259,0.5213,0.0,14.0,0.0,55551.2,34.2,1044.4,0.0,392.27,317.99
623,A,0.3419,0.0422,26.7798,0.0167,0.2728,0.0,23.9,11.2,58064.0,21.3,530.2,0.0,392.24,315.56
623,B,0.3139,0.0,25.1596,0.0296,0.3094,0.0,23.1,0.0,57642.9,39.8,634.3,0.0,392.24,315.56
624,A,0.309,0.007,26.6914,0.0125,0.3888,0.0,21.4,1.9,57628.9,15.9,751.7,0.0,392.2,313.13
624,B,0.3476,0.0,25.0024,0.0385,0.3493,0.0,25.7,0.0,57639.1,52.2,721.4,0.0,392.2,313.13
625,A,0.2574,0.0474,25.4768,0.0094,0.3231,0.0,18.4,12.9,56789.5,12.3,644.5,0.0,392.16,310.69
625,B,0.265,0.0206,23.5184,0.0,0.2535,0.0,18.6,5.5,51324.3,0.0,495.0,0.0,392.16,310.69
626,A,0.2289,0.0167,21.1246,0.1267,1.1749,0.0239,15.7,4.4,46444.3,168.8,2336.9,17.8,392.12,308.27
626,B,0.4756,0.0062,20.6126,0.1285,1.1267,0.0036,33.4,1.6,46450.1,176.6,2312.3,2.7,392.12,308.27
627,A,0.6051,0.0032,19.9982,0.1699,1.5743,0.0103,41.2,0.8,44240.7,233.8,3201.4,7.4,392.08,305.85
627,B,0.3872,0.0507,19.5637,0.1813,1.5931,0.0225,26.8,13.3,44063.7,253.5,3287.0,16.7,392.08,305.85
628,A,0.2127,0.0101,19.3486,0.1762,1.6537,0.0402,14.3,2.6,42550.1,239.6,3312.4,29.3,392.05,303.43
628,B,0.2597,0.0099,18.8916,0.142,1.5907,0.0661,17.9,2.6,42488.1,197.8,3271.3,49.2,392.05,303.43
629,A,0.2972,0.0451,18.8963,0.2098,1.9761,0.0245,19.8,11.4,41665.7,290.4,3996.5,17.6,392.02,301.02
629,B,0.3687,0.0618,18.6605,0.1758,2.0277,0.0505,25.1,16.0,42140.8,250.7,4224.7,36.9,392.02,301.02
630,A,0.349,0.0341,22.3018,0.1249,1.0867,0.0135,24.3,9.0,49541.2,167.9,2187.6,10.1,391.99,298.61
630,B,0.4257,0.0569,21.771,0.0787,1.0316,0.0067,30.1,15.2,49119.0,107.4,2115.6,5.1,391.99,298.61
631,A,0.1943,0.0326,23.7863,0.1044,0.7501,0.0128,13.5,8.7,52431.1,137.0,1484.0,9.7,391.95,296.2
631,B,0.2794,0.0789,23.5562,0.0673,0.7752,0.0092,19.6,21.1,52200.1,89.0,1549.6,6.9,391.95,296.2
632,A,0.2912,0.0485,24.3655,0.0757,0.5788,0.0,20.5,13.0,53976.8,99.5,1151.8,0.0,391.9,293.8
632,B,0.4068,0.0456,21.6597,0.0424,0.5263,0.0106,29.0,12.3,48498.1,56.6,1065.0,8.1,391.9,293.8
633,A,0.4897,0.0034,24.2657,0.0868,0.6398,0.0132,34.3,0.9,53427.9,114.1,1273.5,9.9,391.86,291.4
633,B,0.3693,0.0397,21.7783,0.0919,0.4904,0.0174,26.5,10.8,48995.6,123.0,995.0,13.4,391.86,291.4
634,A,0.1838,0.0,22.7458,0.1259,0.8851,0.0072,12.9,0.0,50668.6,167.7,1769.9,5.5,391.83,289.01
634,B,0.3381,0.0036,22.2433,0.0841,0.8238,0.0184,23.9,1.0,49840.1,112.8,1666.6,14.0,391.83,289.01
635,A,0.3978,0.0423,22.1392,0.1424,1.1543,0.0113,27.4,11.0,48750.2,190.6,2308.0,8.3,391.79,286.62
635,B,0.349,0.0301,21.3185,0.1129,1.1328,0.0193,24.7,8.1,48329.5,155.4,2331.3,14.7,391.79,286.62
636,A,0.5183,0.0637,24.67,0.1046,0.8642,0.0166,35.7,16.5,53659.1,137.1,1705.7,12.2,391.75,284.23
636,B,0.2819,0.0379,23.239,0.0259,0.8298,0.0119,20.0,10.3,52388.1,34.9,1686.0,9.2,391.75,284.23
637,A,0.2235,0.0128,25.79,0.0583,0.4394,0.0091,15.7,3.4,56720.3,75.5,864.9,7.0,391.72,281.84
637,B,0.508,0.0582,25.0561,0.0189,0.4317,0.0157,36.5,15.8,56107.8,25.1,874.0,12.1,391.72,281.84
638,A,0.4388,0.0157,26.5956,0.067,0.2957,0.0261,30.8,4.2,57959.3,86.1,579.4,19.7,391.69,279.46
638,B,0.3234,0.0344,25.753,0.0583,0.3011,0.0093,23.2,9.4,57482.2,76.6,602.8,7.2,391.69,279.46
639,A,0.2996,0.0399,22.2964,0.1473,1.066,0.0088,20.8,10.6,49601.7,198.0,2144.4,6.6,391.65,277.09
639,B,0.444,0.0558,22.0645,0.1293,1.0577,0.005,31.4,14.9,49763.9,177.0,2168.3,3.8,391.65,277.09
640,A,0.3137,0.054,23.3131,0.0487,0.6024,0.0095,21.7,14.2,50711.0,63.0,1180.6,7.1,391.61,274.72
640,B,0.3677,0.0164,22.2488,0.0438,0.5462,0.0112,25.9,4.4,49190.7,57.5,1088.3,8.5,391.61,274.72
641,A,0.1756,0.0621,24.4592,0.0921,0.8884,0.031,12.3,16.6,54161.2,121.7,1769.9,23.5,391.57,272.35
641,B,0.5049,0.0226,24.1093,0.049,0.8407,0.005,35.7,6.0,53860.6,65.7,1701.8,3.8,391.57,272.35
642,A,0.2095,0.0236,21.7113,0.1983,1.8404,0.011,14.1,6.1,47949.8,270.1,3692.6,8.1,391.54,269.99
642,B,0.4667,0.0,20.829,0.1542,1.6115,0.0245,32.5,0.0,47185.7,216.0,3339.1,18.3,391.54,269.99
643,A,0.3192,0.0363,20.0663,0.2252,1.7901,0.0186,21.8,9.4,44959.3,313.8,3664.1,13.7,391.5,267.63
643,B,0.523,0.0372,19.1723,0.2234,1.5755,0.023,36.4,9.7,43479.9,316.2,3283.7,17.0,391.5,267.63
644,A,0.3445,0.0562,22.4743,0.0931,0.4421,0.0168,24.0,14.9,49142.8,120.9,870.9,12.6,391.47,265.27
644,B,0.2084,0.0008,21.9673,0.0636,0.4573,0.0122,15.1,0.2,49895.5,85.3,929.9,9.6,391.47,265.27
645,A,0.3606,0.0531,21.4482,0.1399,1.4251,0.0214,24.8,13.9,47641.0,190.6,2884.5,15.8,391.43,262.92
645,B,0.6156,0.0623,20.37,0.1153,1.2495,0.026,43.2,16.3,45845.3,160.1,2584.9,19.2,391.43,262.92
646,A,0.3254,0.0255,26.6864,0.0461,0.5472,0.0013,22.6,6.7,57967.9,59.2,1066.7,1.0,391.4,260.56
646,B,0.4907,0.0407,25.5417,0.0351,0.465,0.0098,35.1,11.0,56972.4,46.5,936.4,7.5,391.4,260.56
647,A,0.5552,0.0444,30.4577,0.0038,0.1196,0.0,37.2,11.2,62841.7,4.6,221.8,0.0,391.36,258.23
647,B,0.731,0.0597,29.3815,0.0067,0.0701,0.0,49.6,15.2,61365.5,8.2,132.1,0.0,391.36,258.23
648,A,0.3849,0.0296,26.604,0.0,0.179,0.0,27.2,8.0,58339.8,0.0,351.7,0.0,391.32,255.89
648,B,0.3777,0.0471,26.8543,0.0,0.2106,0.0,27.7,13.1,61015.3,0.0,429.1,0.0,391.32,255.89
649,A,0.3514,0.0096,29.0136,0.0,0.1864,0.0,24.4,2.5,62380.1,0.0,358.3,0.0,391.29,253.55
649,B,0.4139,0.0327,26.9055,0.0,0.1504,0.0,30.5,9.2,61423.6,0.0,308.0,0.0,391.29,253.55
650,A,0.4134,0.073,30.6042,0.0,0.1072,0.0,27.4,18.4,62636.7,0.0,196.6,0.0,391.25,251.21
650,B,0.5204,0.1045,28.7423,0.0,0.1446,0.0,34.3,26.4,58488.2,0.0,265.0,0.0,391.25,251.21
651,A,0.5636,0.0483,26.5572,0.0,0.0343,0.0163,41.1,13.3,59534.9,0.0,69.3,12.7,391.22,248.88
651,B,0.5987,0.0353,28.7915,0.0,0.0667,0.0,40.1,8.9,59419.7,0.0,123.8,0.0,391.22,248.88
652,A,0.4931,0.0088,29.5438,0.0,0.0295,0.0,34.0,2.3,62757.7,0.0,56.1,0.0,391.18,246.55
652,B,0.5071,0.0181,29.6047,0.0,0.0529,0.0,34.9,4.7,62653.8,0.0,100.5,0.0,391.18,246.55
653,A,0.3752,0.0129,27.754,0.0,0.019,0.0,27.6,3.6,63055.3,0.0,38.5,0.0,391.15,244.23
653,B,0.841,0.0794,34.0723,0.0,0.0456,0.0,50.1,17.7,62346.2,0.0,75.3,0.0,391.15,244.23
654,A,0.5233,0.076,26.6813,0.0,0.0356,0.0009,38.1,20.9,59808.5,0.0,71.9,0.7,391.11,241.92
654,B,0.464,0.0332,28.1374,0.0,0.056,0.0,33.6,9.1,62816.1,0.0,112.1,0.0,391.11,241.92
655,A,0.7655,0.0522,31.0596,0.0,0.0483,0.0,50.1,12.8,62443.3,0.0,87.7,0.0,391.08,239.59
655,B,0.6434,0.0861,30.3314,0.0,0.045,0.0,43.4,21.8,62927.3,0.0,84.1,0.0,391.08,239.59
656,A,0.5481,0.059,29.5001,0.0,0.0464,0.0,36.2,14.7,59989.4,0.0,84.8,0.0,391.04,237.28
656,B,0.4422,0.028,27.9669,0.0156,0.0465,0.0,31.7,7.6,61783.3,20.2,92.1,0.0,391.04,237.28
657,A,0.4928,0.055,29.1059,0.0,0.0515,0.0,32.4,13.7,58971.2,0.0,93.6,0.0,391.01,234.98
657,B,0.7987,0.0684,28.036,0.0,0.1165,0.0,47.9,15.3,51629.6,0.0,194.7,0.0,391.01,234.98
658,A,0.4658,0.0615,29.826,0.0,0.0485,0.0,31.7,15.9,62557.2,0.0,91.3,0.0,390.97,232.67
658,B,0.3878,0.0571,27.6123,0.0,0.0709,0.0,28.1,15.7,61793.6,0.0,142.2,0.0,390.97,232.67
659,A,0.2221,0.0218,27.5364,0.0,0.1142,0.0089,16.0,6.0,61339.8,0.0,226.8,7.0,390.93,230.37
659,B,0.5447,0.0,30.7673,0.0,0.0302,0.0,35.1,0.0,61012.9,0.0,53.6,0.0,390.93,230.37
660,A,0.3427,0.0169,27.4072,0.0,0.0735,0.0084,24.4,4.6,60310.2,0.0,144.6,6.4,390.9,228.08
660,B,0.5683,0.0,28.5848,0.0,0.0729,0.0,40.5,0.0,62745.3,0.0,143.8,0.0,390.9,228.08
661,A,0.5826,0.0393,27.9482,0.0,0.0494,0.0,38.3,9.7,56593.6,0.0,89.9,0.0,390.87,225.78
661,B,0.5269,0.0,28.883,0.0,0.0885,0.0,35.6,0.0,60132.6,0.0,165.4,0.0,390.87,225.78
662,A,0.2972,0.0239,27.3886,0.0,0.0703,0.0,21.9,6.7,62255.2,0.0,142.7,0.0,390.83,223.49
662,B,0.3451,0.0339,28.7851,0.0,0.0701,0.0,23.1,8.7,59599.7,0.0,129.6,0.0,390.83,223.49
663,A,0.5405,0.0979,26.536,0.0,0.0494,0.0031,39.4,26.9,59526.9,0.0,100.0,2.4,390.8,221.21
663,B,0.6951,0.0008,28.7067,0.0,0.0787,0.0,48.5,0.2,61697.3,0.0,152.4,0.0,390.8,221.21
664,A,0.253,0.0526,26.3114,0.0,0.1096,0.0,18.3,14.5,58905.3,0.0,219.2,0.0,390.76,218.92
664,B,0.3879,0.0081,25.7267,0.0,0.0766,0.0,27.5,2.2,56432.8,0.0,150.4,0.0,390.76,218.92
665,A,0.3575,0.0351,29.1298,0.0157,0.1151,0.0,24.2,9.1,61041.0,19.3,215.6,0.0,390.73,216.64
665,B,0.4387,0.0257,27.291,0.0047,0.1096,0.0,30.4,6.7,58375.5,5.8,210.3,0.0,390.73,216.64
666,A,0.2983,0.0534,26.4365,0.0089,0.0817,0.0,21.6,14.7,59117.1,11.6,163.4,0.0,390.69,214.37
666,B,0.7074,0.0633,29.9454,0.0,0.1224,0.0,46.0,15.4,59921.4,0.0,221.1,0.0,390.69,214.37
667,A,0.4006,0.0277,26.7634,0.0,0.0505,0.0,29.1,7.6,60007.4,0.0,101.4,0.0,390.66,212.1
667,B,0.3974,0.0224,27.8976,0.0,0.0513,0.0,28.8,6.2,62476.4,0.0,102.9,0.0,390.66,212.1
668,A,0.4046,0.0118,28.6683,0.0,0.0271,0.0,28.9,3.2,63039.8,0.0,53.3,0.0,390.62,209.82
668,B,0.2536,0.0095,26.5862,0.0,0.0328,0.0,19.3,2.8,62591.6,0.0,68.9,0.0,390.62,209.82
669,A,0.2945,0.0177,28.8586,0.0097,0.036,0.0,20.9,4.8,63211.8,12.4,70.3,0.0,390.59,207.56
669,B,0.4775,0.0064,31.3777,0.0,0.0565,0.0,31.3,1.6,63243.3,0.0,101.9,0.0,390.59,207.56
670,A,0.4193,0.05,29.3243,0.0,0.0245,0.0,29.1,13.2,62693.9,0.0,47.0,0.0,390.55,205.3
670,B,0.5436,0.0472,29.3482,0.0,0.0549,0.0007,37.9,12.4,63031.7,0.0,105.9,0.5,390.55,205.3
671,A,0.3564,0.0635,26.9217,0.0,0.0028,0.0,25.9,17.5,60284.6,0.0,5.7,0.0,390.52,203.04
671,B,0.3844,0.0405,28.0899,0.0,0.0391,0.0,27.9,11.2,62956.1,0.0,78.5,0.0,390.52,203.04
672,A,0.2477,0.0319,28.2427,0.0,0.0,0.0,18.0,8.9,63284.1,0.0,0.0,0.0,390.48,200.79
672,B,0.0616,0.0074,21.0445,0.0,0.0361,0.053,5.7,2.7,61486.8,0.1,93.7,54.9,390.48,200.79
673,A,0.3356,0.0613,29.4396,0.0082,0.0263,0.0014,23.5,16.3,63450.8,10.3,50.6,1.1,390.45,198.54
673,B,0.5986,0.0625,31.0437,0.0,0.0172,0.0,39.3,15.5,62589.1,0.0,31.2,0.0,390.45,198.54
674,A,0.5452,0.1024,31.6039,0.0,0.0346,0.0038,35.5,25.6,63285.7,0.0,62.2,2.6,390.41,196.29
674,B,0.4029,0.0619,27.7006,0.0,0.0377,0.0,29.4,17.1,62243.5,0.0,75.9,0.0,390.41,196.29
675,A,0.5152,0.0227,30.0191,0.0,0.0528,0.0,35.1,5.9,62957.8,0.0,99.3,0.0,390.38,194.05
675,B,0.2417,0.0232,28.2004,0.0,0.0141,0.0,17.4,6.4,62779.8,0.0,27.9,0.0,390.38,194.05
676,A,0.5338,0.0448,26.7295,0.0015,0.0173,0.0,38.9,12.3,59889.3,2.0,34.9,0.0,390.35,191.81
676,B,0.3779,0.0337,28.1927,0.0,0.0644,0.0,27.4,9.3,63160.3,0.0,129.1,0.0,390.35,191.81
677,A,0.8504,0.0823,34.8397,0.0,0.0228,0.0,50.2,18.2,63017.6,0.0,37.2,0.0,390.31,189.57
677,B,0.2971,0.0245,27.3031,0.0,0.0532,0.0,22.3,7.0,63247.0,0.0,110.1,0.0,390.31,189.57
678,A,0.3411,0.0869,28.3135,0.0,0.0196,0.0162,24.7,24.0,63301.0,0.0,39.3,12.7,390.28,187.34
678,B,0.327,0.0193,28.4478,0.0,0.0266,0.0,23.6,5.3,63350.2,0.0,52.8,0.0,390.28,187.34
679,A,0.3394,0.0452,30.1416,0.0,0.0355,0.0,22.9,11.6,62695.1,0.0,66.0,0.0,387.92,187.35
679,B,0.4547,0.0197,28.7585,0.0198,0.0461,0.0,32.3,5.3,62980.5,25.3,90.5,0.0,387.92,187.35
680,A,0.4483,0.0177,29.3069,0.0,0.0491,0.0,31.2,4.7,62792.9,0.0,94.1,0.0,387.95,189.58
680,B,0.3715,0.0492,28.1113,0.0,0.0588,0.0118,26.9,13.6,62906.9,0.0,117.8,9.2,387.95,189.58
681,A,0.4754,0.0651,28.8381,0.0,0.0165,0.0019,33.6,17.4,62795.0,0.0,32.2,1.4,387.99,191.82
681,B,0.647,0.0432,31.1379,0.0,0.0451,0.0,42.2,10.6,62392.0,0.0,81.2,0.0,387.99,191.82
682,A,0.4313,0.0661,28.775,0.0,0.0268,0.0,30.6,17.8,62964.4,0.0,52.6,0.0,388.02,194.06
682,B,0.3615,0.0593,27.7448,0.0,0.033,0.0,26.6,16.6,62950.1,0.0,67.0,0.0,388.02,194.06
683,A,0.5159,0.0339,28.9152,0.0,0.0263,0.0,36.6,9.1,63148.4,0.0,51.6,0.0,388.05,196.3
683,B,0.3851,0.0668,27.0091,0.0,0.0165,0.0,27.5,18.1,59482.4,0.0,32.6,0.0,388.05,196.3
684,A,0.7451,0.0591,32.4764,0.0,0.0305,0.0,47.0,14.0,62933.1,0.0,53.2,0.0,388.08,198.55
684,B,0.6208,0.0881,35.646,0.0,0.0547,0.0,35.3,18.9,62300.6,0.0,85.8,0.0,388.08,198.55
685,A,0.0896,0.0209,24.0242,0.0023,0.0228,0.0301,7.4,6.8,62462.3,3.4,52.6,27.7,388.12,200.8
685,B,0.6199,0.0626,29.6927,0.0,0.0497,0.0,42.5,16.1,62567.5,0.0,94.3,0.0,388.12,200.8
686,A,0.4147,0.0591,26.9298,0.0053,0.0062,0.0061,30.2,16.3,60322.3,7.0,12.5,4.8,388.15,203.05
686,B,0.3863,0.0282,28.0367,0.0,0.0493,0.0,28.0,7.8,62756.0,0.0,98.8,0.0,388.15,203.05
687,A,0.3804,0.0701,29.6611,0.0,0.0225,0.0,25.7,18.0,61689.8,0.0,41.8,0.0,388.18,205.31
687,B,0.3114,0.019,28.2624,0.0,0.0338,0.0,22.5,5.2,62928.5,0.0,67.3,0.0,388.18,205.31
688,A,0.4261,0.0727,31.1429,0.0,0.055,0.0,27.9,18.1,62882.7,0.0,99.4,0.0,388.21,207.57
688,B,0.3742,0.0319,28.2104,0.0,0.0031,0.0,27.2,8.8,63207.1,0.0,6.2,0.0,388.21,207.57
689,A,0.6007,0.0714,26.7697,0.0,0.0245,0.0,43.8,19.6,60004.7,0.0,49.5,0.0,388.25,209.84
689,B,0.4542,0.0493,29.7454,0.0,0.0284,0.0002,31.3,12.9,63076.0,0.0,54.1,0.1,388.25,209.84
690,A,0.6224,0.0642,28.8343,0.0,0.0581,0.0033,44.6,17.3,63578.1,0.0,115.5,2.5,388.28,212.1
690,B,0.2707,0.0249,27.7646,0.0,0.0525,0.0029,19.8,7.0,62704.0,0.0,105.8,2.3,388.28,212.1
691,A,0.6122,0.0937,33.2468,0.0,0.0566,0.0,37.5,21.6,62587.0,0.0,95.7,0.0,388.31,214.38
691,B,0.7493,0.0431,32.1994,0.0,0.0392,0.0,47.3,10.2,62373.3,0.0,68.5,0.0,388.31,214.38
692,A,0.3026,0.0588,28.5644,0.0,0.0722,0.0,21.4,15.9,62343.6,0.0,140.9,0.0,388.35,216.65
692,B,0.2801,0.0324,27.6971,0.0,0.0567,0.0038,20.3,9.0,62173.3,0.0,113.5,3.0,388.35,216.65
693,A,0.3285,0.0286,26.2985,0.0,0.1051,0.0016,23.8,7.9,58950.1,0.0,210.8,1.3,388.38,218.94
693,B,0.2847,0.0341,27.9529,0.0278,0.105,0.0006,20.2,9.2,61253.2,35.6,205.5,0.5,388.38,218.94
694,A,0.4111,0.0399,27.7761,0.0,0.0429,0.0009,30.2,11.1,62912.9,0.0,87.1,0.7,388.41,221.22
694,B,0.6366,0.0581,29.6641,0.0,0.0369,0.0,43.4,14.9,62242.1,0.0,69.7,0.0,388.41,221.22
695,A,0.3662,0.0292,28.7963,0.0,0.0165,0.0,25.9,7.9,62823.8,0.0,32.2,0.0,388.44,223.51
695,B,0.3783,0.0783,27.912,0.0,0.0417,0.0,27.5,21.6,62551.6,0.0,83.8,0.0,388.44,223.51
696,A,0.5802,0.0272,26.4288,0.0138,0.037,0.0,42.3,7.4,59281.0,18.2,74.6,0.0,388.48,225.79
696,B,0.3613,0.0679,28.1291,0.0,0.0308,0.0,26.0,18.6,62343.8,0.0,61.2,0.0,388.48,225.79
697,A,0.4047,0.032,27.596,0.0,0.0683,0.005,28.2,8.5,59386.4,0.0,131.7,3.7,388.51,228.09
697,B,0.4926,0.0335,27.8927,0.0,0.0554,0.0032,35.8,9.2,62493.0,0.0,111.5,2.5,388.51,228.09
698,A,0.2301,0.0237,29.3748,0.0,0.0529,0.0,15.7,6.2,62036.9,0.0,99.6,0.0,388.54,230.39
698,B,0.389,0.0561,28.8282,0.0,0.0944,0.0,27.1,14.9,62085.6,0.0,182.1,0.0,388.54,230.39
699,A,0.3591,0.0767,26.5713,0.0,0.0399,0.0043,26.6,21.6,60775.2,0.0,81.7,3.5,388.58,232.69
699,B,0.3499,0.0181,27.9152,0.0,0.0403,0.0,25.4,5.0,62520.7,0.0,80.6,0.0,388.58,232.69
700,A,0.2773,0.0261,25.9767,0.0,0.068,0.0004,21.1,7.6,61195.8,0.0,143.2,0.3,388.61,234.99
700,B,0.5644,0.029,31.1207,0.0,0.0466,0.0,36.9,7.2,62648.7,0.0,84.2,0.0,388.61,234.99
701,A,0.3981,0.0514,29.4304,0.0,0.0411,0.0,27.4,13.4,62371.2,0.0,78.0,0.0,388.64,237.3
701,B,0.6772,0.0971,31.7802,0.0,0.043,0.0,43.4,23.4,62575.8,0.0,76.3,0.0,388.64,237.3
702,A,0.5227,0.0206,29.9672,0.0,0.014,0.0,34.1,5.1,60149.4,0.0,25.2,0.0,388.68,239.61
702,B,0.6274,0.0184,32.3085,0.0,0.1216,0.0,37.4,4.1,59231.2,0.0,200.3,0.0,388.68,239.61
703,A,0.2588,0.0365,28.4733,0.0,0.0396,0.0,18.4,9.9,62468.9,0.0,77.5,0.0,388.71,241.93
703,B,0.3312,0.0449,27.9946,0.0,0.037,0.0,24.1,12.5,62848.2,0.0,74.4,0.0,388.71,241.93
