PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
59,0.4266,0.0593,24.336,0.0639,0.7251,0.0099,29.8,15.7,53439,83.9,1440.3,7.4,406.42,286.55
60,0.4954,0.0318,23.6145,0.0985,0.8936,0.0078,34,8.2,51306.2,128.9,1760.7,5.7,406.38,284.16
61,0.3498,0.0436,19.6912,0.0127,0.4369,0.093,24.5,11.6,43272.9,16.7,870.7,70.1,406.32,281.78
62,0.4963,0.0073,11.7533,0.0397,0.1428,0.2547,34.6,1.9,25273.7,52.5,287.3,186.5,406.28,279.4
63,0.6161,0,27.6039,0,0.1459,0.0157,42.7,0,59022.3,0,281.2,11.6,406.23,277.02
64,0.303,0.0521,26.7536,0,0.1867,0.0019,20.9,13.7,57267.6,0,357.6,1.4,406.18,274.65
65,0.2744,0.0581,25.7051,0.0302,0.6481,0.0046,19,15.3,55846,38.8,1265.5,3.4,406.13,272.29
66,0.5625,0.0361,26.0936,0.1166,0.4814,0.0044,39.6,9.6,57376.2,152.8,956.3,3.3,406.08,269.92
67,0.347,0.0959,26.0202,0.0309,0.5873,0.0044,24.3,25.6,57101,40.2,1161.5,3.3,406.04,267.56
68,0.153,0.0037,22.9256,0.0118,0.5711,0,10.7,1,50480.1,15.3,1124.4,0,405.99,265.21
69,0.357,0.0868,25.5474,0.0277,0.3695,0.0025,24.6,22.7,54830.6,35.1,713.4,1.9,405.95,262.85
70,0.2772,0.0573,25.2916,0.0575,0.6042,0.0065,19.3,15.3,55457.8,74.7,1190.6,4.9,405.89,260.5
71,0.4619,0.0326,22.3555,0.0348,0.5726,0.0074,32.4,8.7,49316.6,45.8,1142.3,5.5,405.85,258.15
72,0.3054,0.0263,22.3226,0.1642,1.0519,0.0072,21.1,6.9,49315.4,219.1,2099.9,5.4,405.8,255.82
73,0.3046,0.0169,18.0126,0.2244,1.7044,0.0264,20.5,4.3,40000.2,311.2,3462.1,19.2,405.75,253.48
74,0.2201,0.0314,16.0112,0.2528,2.8466,0.0621,14.2,7.8,35682.4,368.6,5895.3,43.4,405.71,251.14
75,0.4272,0.0196,17.7504,0.2278,2.6813,0.0297,28.2,4.9,39710.5,329.7,5571.8,21,405.66,248.82
76,0.5042,0.0278,27.1331,0,0.4189,0,35.5,7.4,59375.2,0,826,0,405.61,246.49
77,0.2714,0.0181,29.174,0,0.0403,0,19.2,4.9,63818.7,0,78.7,0,405.57,244.16
78,0.623,0.0857,31.0594,0,0.0069,0,41.9,21.7,64137.5,0,12.8,0,405.52,241.84
