PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
1028,0.4196,0.0364,26.1104,0.0,0.0648,0.0,381.78,265.32
1029,0.2583,0.0815,24.3641,0.0094,0.2154,0.0,381.76,262.97
1030,0.4473,0.03,25.2,0.0259,0.5897,0.0,381.73,260.62
1031,0.3188,0.0592,27.1932,0.0213,0.2403,0.0119,381.71,258.27
1032,0.5071,0.0258,26.5938,0.0,0.0656,0.0,381.67,255.93
1033,0.3652,0.0193,27.9639,0.0,0.0515,0.0,381.65,253.59
1034,0.6147,0.0869,30.5816,0.0,0.102,0.0,381.62,251.26
1035,0.4879,0.0778,26.5493,0.0,0.0498,0.0,381.59,248.93
1036,0.6016,0.06,29.7471,0.0,0.0459,0.0,381.57,246.6
1037,0.4768,0.0163,27.6964,0.0,0.0309,0.0,381.54,244.27
1038,0.3788,0.0378,26.621,0.0,0.0292,0.0,381.51,241.96
1039,0.4669,0.0707,26.8949,0.0,0.0274,0.0,381.48,239.65
1040,0.2965,0.0241,28.344,0.0,0.0238,0.0053,381.45,237.33
1041,0.6856,0.0341,32.6376,0.0,0.0715,0.0,381.43,235.02
1042,0.5138,0.0521,26.8477,0.0,0.0363,0.0,381.4,232.72
1043,0.2978,0.0468,26.671,0.0248,0.0216,0.0222,381.37,230.42
1044,0.1264,0.0144,28.9644,0.0,0.0721,0.0,381.34,228.12
1045,0.6721,0.0401,31.6974,0.0,0.0742,0.0,381.32,225.83
1046,0.3689,0.0534,28.6471,0.0,0.048,0.0035,381.29,223.54
1047,0.6874,0.0741,34.1041,0.0,0.0355,0.0,381.26,221.26
1048,0.2379,0.0172,28.7828,0.0,0.0342,0.0,381.23,218.97
1049,0.4059,0.0999,26.7891,0.0,0.0129,0.0004,381.21,216.69
1050,0.2228,0.0262,26.0785,0.0,0.0289,0.022,381.18,214.41
1051,0.4454,0.0377,31.4655,0.0,0.0254,0.0,381.15,212.14
1052,1.1208,0.0898,33.382,0.0,0.0,0.0,381.12,209.87
1053,0.6697,0.0075,34.2529,0.0,0.0293,0.0,381.1,207.61
1054,0.4765,0.0273,28.8245,0.0,0.0274,0.0113,381.07,205.35
1055,0.6141,0.0475,33.8615,0.0,0.0191,0.0,381.04,203.09
1056,0.6091,0.0556,30.084,0.0,0.048,0.0,381.01,200.84
1057,0.5782,0.0131,28.7862,0.0,0.0438,0.0,380.99,198.59
1058,0.6226,0.0481,33.5329,0.0,0.0331,0.0,380.96,196.34
1059,0.3203,0.0329,28.8885,0.0,0.0527,0.0,380.93,194.1
1060,0.4979,0.0437,26.7548,0.0,0.0404,0.0,380.91,191.86
1061,0.1707,0.0382,28.0672,0.0,0.0209,0.0,380.88,189.62
1062,0.4708,0.0127,29.7199,0.0,0.0525,0.0,380.85,187.38
1063,0.4411,0.0563,31.7548,0.0,0.035,0.0,378.5,187.4
1064,0.3146,0.0406,28.5287,0.0,0.0118,0.0,378.52,189.63
1065,0.4021,0.0511,28.4307,0.0,0.0087,0.0,378.55,191.87
1066,0.394,0.042,29.1918,0.0,0.0287,0.0,378.57,194.1
1067,0.6064,0.0697,26.6127,0.0,0.0248,0.0,378.6,196.35
1068,0.6196,0.0496,31.9058,0.0,0.0425,0.0,378.62,198.6
1069,0.3513,0.0473,28.6464,0.0,0.0,0.0063,378.65,200.85
1070,0.4531,0.0557,26.7026,0.0024,0.0254,0.0025,378.67,203.1
1071,0.5124,0.0079,26.8013,0.0,0.016,0.0,378.7,205.36
1072,0.3728,0.0682,28.7953,0.0,0.0428,0.0,378.72,207.62
1073,0.5622,0.0799,31.0065,0.0,0.0308,0.0,378.75,209.89
1074,0.6038,0.0628,26.6737,0.0,0.0,0.0043,378.77,212.15
1075,0.2921,0.0639,26.6504,0.0,0.0396,0.0123,378.8,214.43
1076,0.6175,0.0,35.9469,0.0,0.0529,0.0,378.83,216.7
1077,0.4337,0.0914,26.7721,0.0,0.0207,0.0,378.85,218.98
1078,0.5436,0.0528,28.6414,0.0,0.0192,0.0,378.88,221.26
1079,0.5211,0.0798,29.9647,0.0,0.0118,0.0,378.9,223.55
1080,0.2041,0.0412,29.3095,0.0,0.0545,0.0,378.93,225.84
1081,0.5391,0.0829,34.0626,0.0,0.0258,0.0,378.95,228.13
1082,0.4182,0.013,26.8557,0.0,0.0339,0.0,378.98,230.43
1083,0.2808,0.054,25.8612,0.0,0.0286,0.0,379.01,232.73
1084,0.4126,0.0562,27.043,0.0,0.017,0.0,379.03,235.04
1085,0.4001,0.0366,26.717,0.0,0.0556,0.0,379.06,237.35
1086,0.294,0.0595,49.486,0.0,0.0611,0.0,379.08,239.66
1087,0.647,0.0706,32.6453,0.0091,0.0512,0.0,379.11,241.97
1088,0.547,0.0692,30.6591,0.0,0.0496,0.0,379.13,244.29
1089,0.4865,0.0434,29.5253,0.0,0.0673,0.0,379.16,246.62
1090,0.3816,0.0234,28.8707,0.0,0.0622,0.0,379.19,248.94
1091,0.4979,0.0152,29.0982,0.0,0.0358,0.0,379.21,251.27
1092,0.29,0.0327,26.7804,0.0,0.0228,0.0,379.24,253.6
1093,0.2732,0.0361,26.8947,0.0,0.2257,0.0096,379.27,255.94
1094,0.2093,0.0198,24.7833,0.01,0.2775,0.0,379.29,258.28
1095,0.3978,0.0407,28.5649,0.0,0.2082,0.0,379.32,260.62
1096,0.4787,0.041,29.1746,0.0,0.1102,0.0,379.34,262.98
1097,0.4176,0.0167,24.9134,0.0,0.2845,0.0,379.37,265.33
1098,0.3665,0.0521,23.5441,0.0,0.4256,0.0144,379.4,267.68
1099,0.4883,0.0159,26.9398,0.0,0.1478,0.0,379.42,270.05
1100,0.3676,0.0618,30.7709,0.0,0.0187,0.0,379.45,272.41
1101,0.4811,0.0871,26.8185,0.0,0.0232,0.001,379.47,274.78
1102,0.3331,0.0716,29.6744,0.0,0.0331,0.0,379.49,277.15
1103,0.3018,0.0389,28.6088,0.0,0.0328,0.0,379.52,279.52
1104,0.5977,0.0,30.6776,0.0,0.0869,0.0,379.55,281.9
1105,0.3707,0.0444,27.9065,0.0075,0.1436,0.0,379.58,284.29
1106,0.2642,0.0583,27.6181,0.0,0.142,0.0,379.59,286.68
1107,0.4105,0.0522,28.458,0.0,0.1565,0.0079,379.63,289.06
1108,0.3551,0.0724,21.7828,0.1054,1.3724,0.0173,379.64,291.46
1109,0.3245,0.0002,19.6399,0.0421,0.8618,0.0111,379.7,293.85
1110,0.2945,0.0094,20.2848,0.101,1.0378,0.0074,379.72,296.26
1111,0.2281,0.0272,19.986,0.1155,1.0057,0.0296,379.75,298.66
1112,0.2707,0.0227,18.9734,0.1149,0.999,0.0291,379.78,301.07
1113,0.4339,0.0526,21.1715,0.1184,1.0894,0.0,379.78,303.48
1114,0.3082,0.0129,21.9823,0.0848,0.9214,0.03,379.82,305.9
1115,0.2701,0.0897,22.4222,0.0912,0.9813,0.0318,379.84,308.32
1116,0.4249,0.0314,20.7693,0.117,1.2628,0.0407,379.87,310.75
1117,0.3209,0.064,24.2155,0.0638,0.667,0.0078,379.9,313.18
1118,0.4097,0.0249,28.5953,0.0,0.0627,0.0007,379.93,315.61
1119,0.3234,0.0139,25.5401,0.0,0.0561,0.0,379.95,318.04
1120,0.3364,0.0539,26.646,0.0248,0.1693,0.0,379.99,320.49
1121,0.2433,0.0581,23.9647,0.0898,0.8465,0.0134,380.01,322.94
1122,0.3937,0.0388,23.5095,0.042,0.6961,0.0047,380.04,325.38
1123,0.2296,0.0127,26.6479,0.0,0.187,0.0032,380.07,327.84
1124,0.2676,0.0226,25.1586,0.0333,0.5501,0.0,380.1,330.3
1125,0.4519,0.0519,22.3732,0.1234,1.0099,0.0261,380.12,332.75
1126,0.2939,0.0765,23.6737,0.0286,0.6248,0.0121,380.15,335.23
1127,0.5384,0.0083,21.104,0.1082,1.4322,0.0071,380.18,337.69
1128,0.3872,0.0187,20.5769,0.1355,1.2715,0.024,380.21,340.17
1129,0.2201,0.0,21.0981,0.168,1.2987,0.0259,380.23,342.64
1130,0.4456,0.0302,20.8212,0.1307,1.3871,0.015,380.26,345.12
1131,0.201,0.0201,21.674,0.1594,1.3123,0.0247,380.29,347.61
1132,0.3108,0.0133,19.9111,0.0903,0.9786,0.0019,380.31,350.1
1133,0.6094,0.0509,25.4868,0.0415,0.5229,0.0116,380.34,352.59
1134,0.3559,0.0532,26.8454,0.0285,0.2455,0.0053,380.37,355.09
1135,0.3153,0.0,26.2758,0.0,0.4026,0.0,380.4,357.59
1136,0.3296,0.0348,24.4051,0.0483,0.7265,0.0043,380.43,360.1
1137,0.4008,0.0282,23.849,0.0664,0.8702,0.0172,380.46,362.61
1138,0.4464,0.0269,24.6151,0.0389,0.772,0.0022,380.48,365.13
1139,0.2681,0.0727,25.0052,0.0,0.4422,0.0,380.51,367.64
1140,0.5231,0.0443,27.1438,0.0,0.2643,0.004,380.54,370.17
1141,0.3078,0.0208,27.1694,0.0132,0.1525,0.0,380.57,372.7
1142,0.4656,0.0077,25.9018,0.0,0.0924,0.0031,380.6,375.23
1143,0.4721,0.0305,25.9029,0.0,0.1079,0.0165,380.63,377.76
1144,0.5829,0.0628,27.4193,0.0,0.1404,0.0,380.65,380.3
1145,0.3842,0.0305,26.4816,0.0215,0.4194,0.0116,380.68,382.85
1146,0.2357,0.0,21.4531,0.0674,0.5624,0.0113,380.71,385.39
1147,0.5782,0.039,22.6182,0.0591,0.6048,0.0001,380.74,387.95
1148,0.3199,0.0064,24.3525,0.0136,0.3471,0.0081,380.77,390.5
1149,0.4909,0.0916,29.162,0.011,0.0613,0.0,380.8,393.06
1150,0.2182,0.0302,27.7395,0.051,0.1403,0.0,380.82,395.63
1151,0.3335,0.0458,24.4313,0.0032,0.1982,0.0,380.85,398.2
1152,0.4468,0.0667,27.2252,0.0,0.4494,0.0,380.88,400.77
1153,0.2588,0.0069,23.4024,0.0107,0.4372,0.0021,380.91,403.35
1154,0.5382,0.0123,26.7756,0.0,0.0804,0.0,380.94,405.93
1155,0.2454,0.0255,24.5935,0.0,0.15,0.0065,380.97,408.52
1156,0.5009,0.0317,27.8552,0.0,0.1395,0.0105,381.0,411.1
1157,0.3595,0.0143,29.0521,0.0016,0.073,0.0,381.03,413.7
1158,0.3646,0.0034,27.6081,0.0,0.0288,0.0,381.06,416.3
1159,0.6238,0.1106,29.607,0.0,0.1477,0.0,378.51,416.31
1160,0.3792,0.0074,28.7924,0.0,0.0992,0.0,378.49,413.71
1161,0.52,0.071,25.3153,0.023,0.201,0.0,378.46,411.12
1162,0.4373,0.0462,24.8314,0.0,0.232,0.0,378.43,408.52
1163,0.3165,0.0586,28.6931,0.0,0.1728,0.0042,378.41,405.94
1164,0.3862,0.016,28.7432,0.0,0.1728,0.0,378.38,403.36
1165,0.4606,0.0476,27.2002,0.0,0.1092,0.0,378.35,400.78
1166,0.2269,0.0362,26.4274,0.0268,0.1815,0.0,378.32,398.2
1167,0.4511,0.0373,21.2503,0.2263,1.1553,0.0076,378.3,395.64
1168,0.5667,0.0532,22.7623,0.143,0.9971,0.0042,378.27,393.07
1169,0.5309,0.035,25.1569,0.0569,0.6055,0.0,378.25,390.51
1170,0.4108,0.0418,23.3186,0.1198,0.9007,0.0079,378.22,387.96
1171,0.453,0.0583,22.9143,0.1069,0.8839,0.0174,378.19,385.4
1172,0.3706,0.0648,24.3076,0.0642,0.7214,0.0163,378.17,382.86
1173,0.3721,0.0153,25.6978,0.043,0.3378,0.0099,378.14,380.31
1174,0.367,0.0375,22.2721,0.1056,0.5264,0.0091,378.11,377.77
1175,0.2991,0.0213,25.286,0.0101,0.4098,0.0023,378.09,375.23
1176,0.3897,0.0495,26.4445,0.0,0.4927,0.0,378.06,372.7
1177,0.516,0.0332,25.5344,0.0271,0.1956,0.0015,378.03,370.17
1178,0.3143,0.0394,25.0854,0.0283,0.5979,0.0117,378.01,367.65
1179,0.4338,0.0232,19.8158,0.2003,1.5594,0.0155,377.98,365.13
1180,0.4719,0.0314,22.2186,0.0716,1.0288,0.0068,377.96,362.62
1181,0.2191,0.0055,21.8708,0.0474,0.6906,0.0,377.93,360.11
1182,0.4189,0.0124,23.4882,0.0501,0.3722,0.0,377.9,357.61
1183,0.2622,0.0069,26.0327,0.0513,0.4234,0.0179,377.88,355.11
1184,0.3497,0.0405,26.3368,0.0,0.291,0.0,377.85,352.6
1185,0.1881,0.0478,22.5891,0.1007,0.9549,0.0,377.83,350.11
1186,0.2158,0.0627,22.1887,0.0773,1.1364,0.0308,377.8,347.62
1187,0.2405,0.0107,20.48,0.1388,1.4035,0.0191,377.78,345.14
1188,0.4943,0.0078,21.5189,0.3206,1.0906,0.0,377.75,342.65
1189,0.4392,0.0342,21.2048,0.1633,1.2553,0.0242,377.72,340.17
1190,0.2574,0.0256,20.532,0.1378,1.4377,0.0381,377.7,337.71
1191,0.2153,0.0131,20.6193,0.0474,0.6751,0.0138,377.67,335.23
1192,0.1981,0.0702,22.0182,0.0833,1.0885,0.0106,377.65,332.77
1193,0.2996,0.0143,20.9915,0.1193,1.1222,0.0177,377.62,330.3
1194,0.348,0.0017,22.6083,0.2605,1.0003,0.0042,377.59,327.85
1195,0.2452,0.0272,25.7255,0.0683,0.4853,0.0,377.57,325.4
1196,0.3857,0.1141,25.9158,0.0233,0.4134,0.0,377.54,322.94
1197,0.56,0.04,29.2943,0.0,0.1783,0.0,377.51,320.49
1198,0.4085,0.0525,28.7322,0.0,0.0643,0.0,377.5,318.07
1199,0.3,0.0259,28.9551,0.0,0.0597,0.0,377.47,315.63
1200,0.4224,0.0552,25.3843,0.0142,0.1193,0.0,377.44,313.19
1201,0.3091,0.0497,20.9154,0.2007,1.6292,0.0234,377.42,310.76
1202,0.251,0.011,20.3618,0.1439,1.461,0.0218,377.4,308.34
1203,0.3861,0.0285,21.7605,0.1266,1.1102,0.0195,377.37,305.92
1204,0.2218,0.0069,20.0779,0.1056,0.9306,0.0195,377.35,303.5
1205,0.212,0.0,21.1098,0.1096,1.1718,0.0022,377.31,301.08
1206,0.3275,0.0268,21.1264,0.1049,1.1684,0.002,377.3,298.67
1207,0.3003,0.0,21.5882,0.1072,1.1679,0.0094,377.28,296.27
1208,0.3337,0.0287,23.0992,0.0953,0.9592,0.0065,377.24,293.87
1209,0.2231,0.0106,26.6221,0.0485,0.331,0.0087,377.23,291.46
1210,0.3541,0.0272,28.4097,0.0,0.0407,0.0,377.2,289.07
1211,0.25,0.0537,26.1718,0.0,0.0486,0.0102,377.18,286.68
1212,0.2348,0.0368,27.9581,0.0,0.0303,0.0072,377.15,284.29
1213,0.2573,0.0294,26.8696,0.0099,0.0479,0.0,377.12,281.91
1214,0.18,0.0257,23.6706,0.0,0.1227,0.0041,377.1,279.53
1215,0.4441,0.0857,26.5519,0.0,0.0111,0.0,377.08,277.15
1216,0.3169,0.0738,26.6713,0.0,0.0323,0.0,377.04,274.8
1217,0.4421,0.0845,26.4982,0.0,0.0299,0.0,377.02,272.43
1218,0.4603,0.0402,26.1157,0.0,0.1493,0.0,377.0,270.06
1219,0.2845,0.0096,24.0027,0.0,0.3604,0.0,376.97,267.7
1220,0.3671,0.0,26.4548,0.0077,0.2026,0.0,376.95,265.34
1222,0.2794,0.0535,26.3571,0.0,0.0736,0.0053,376.9,260.64
1223,0.2774,0.05,28.4715,0.0,0.0622,0.0,376.88,258.29
1224,0.199,0.0647,27.2811,0.0,0.1689,0.0,376.85,255.95
1225,0.4374,0.0461,25.43,0.0143,0.2556,0.0,376.82,253.62
1226,0.6255,0.0545,29.9313,0.0255,0.1416,0.0,376.8,251.28
1227,0.1588,0.0544,24.873,0.0,0.0096,0.0271,376.78,248.95
1228,0.831,0.0437,31.8241,0.0,0.0866,0.0,376.75,246.63
1229,0.6041,0.046,26.8462,0.0,0.0382,0.0009,376.73,244.3
1230,0.14,0.0049,27.0947,0.0,0.0163,0.0011,376.71,241.98
1231,0.3838,0.0116,28.2336,0.0,0.0146,0.0,376.68,239.67
1232,0.2962,0.0346,28.8522,0.0,0.0006,0.0,376.66,237.36
1233,0.391,0.0732,27.0782,0.0014,0.0084,0.0076,376.63,235.05
1234,0.2628,0.0557,31.883,0.0,0.0423,0.0,376.61,232.75
1235,0.2321,0.0073,25.3693,0.0,0.0266,0.0053,376.59,230.45
1236,0.4596,0.0123,27.9341,0.0,0.0118,0.0,376.56,228.15
1237,0.4612,0.0075,28.8453,0.0,0.0246,0.0051,376.54,225.85
1238,0.4499,0.0567,26.8813,0.0,0.0094,0.0,376.51,223.57
1239,0.3676,0.0518,26.656,0.0,0.0297,0.0,376.49,221.28
1240,0.3112,0.0087,28.9581,0.0,0.0,0.0,376.47,218.99
1241,0.4688,0.0221,28.5268,0.0,0.0261,0.004,376.45,216.71
1242,0.3938,0.0578,28.4466,0.0,0.0396,0.0,376.42,214.44
1243,0.4673,0.0446,26.8074,0.0,0.0282,0.0,376.4,212.16
1244,0.5288,0.0764,29.7981,0.0,0.0368,0.0,376.37,209.9
1245,0.2887,0.0314,28.8158,0.0,0.0432,0.0,376.35,207.63
1246,0.6416,0.041,26.6179,0.0,0.0318,0.0044,376.33,205.37
1247,0.7916,0.009,32.8598,0.0,0.0144,0.0,376.3,203.11
1248,0.4775,0.0449,28.6703,0.0,0.0048,0.0,376.28,200.86
1249,0.3922,0.0785,28.4062,0.0,0.0206,0.0061,376.26,198.61
1250,0.4403,0.0563,31.6031,0.0,0.0356,0.0,376.23,196.36
1251,0.3593,0.0763,26.6158,0.0,0.0391,0.0,376.21,194.12
1252,0.3977,0.0727,26.8462,0.0,0.0,0.0,376.19,191.88
1253,0.1986,0.0109,25.7473,0.0,0.0471,0.0,376.16,189.64
1254,0.5903,0.0246,28.327,0.0,0.0266,0.0,376.14,187.41
1255,0.2192,0.0246,27.5099,0.0,0.0469,0.0109,373.79,187.42
1256,0.43,0.0187,28.8462,0.0,0.0142,0.0012,373.81,189.65
1257,0.5231,0.0222,30.8652,0.0,0.0415,0.0,373.83,191.89
1258,0.5261,0.0169,26.7715,0.0,0.0348,0.0,373.85,194.13
1259,0.2846,0.0633,28.6042,0.0,0.0086,0.0,373.87,196.37
1260,0.43,0.0175,26.755,0.0,0.0078,0.0,373.89,198.62
1261,0.5197,0.0268,26.7405,0.0,0.003,0.0,373.91,200.87
1262,0.3688,0.0054,26.6888,0.0,0.0274,0.0,373.93,203.13
1263,0.6363,0.0389,26.5052,0.0,0.0056,0.01,373.96,205.38
1264,0.39,0.0286,28.4995,0.0,0.0149,0.0,373.98,207.65
1265,0.6363,0.0562,32.0631,0.0,0.0321,0.0,374.0,209.91
1266,0.5124,0.0539,28.7724,0.0,0.0688,0.0,374.02,212.18
1267,0.3205,0.0428,32.4052,0.0,0.0539,0.0,374.04,214.45
1268,0.5061,0.1133,29.9156,0.0,0.0403,0.014,374.06,216.73
1269,0.4099,0.0354,28.6243,0.0,0.0219,0.0042,374.09,219.01
1270,0.3708,0.015,29.9792,0.0,0.0318,0.0116,374.11,221.29
1271,0.3154,0.0395,26.7889,0.0017,0.0435,0.0,374.13,223.57
1272,0.4127,0.0656,28.5224,0.0,0.0426,0.0,374.15,225.86
1273,0.6161,0.0607,32.1234,0.0,0.0363,0.0,374.17,228.15
1274,0.7593,0.0519,32.5051,0.0,0.0529,0.0,374.2,230.45
1275,0.3713,0.035,29.7086,0.0,0.0418,0.0,374.22,232.75
1276,0.6904,0.0636,26.9583,0.0046,0.0124,0.0009,374.24,235.06
1277,0.4354,0.03,28.3059,0.0,0.0317,0.0,374.26,237.37
1278,0.3788,0.0359,27.7295,0.0,0.0442,0.0,374.28,239.68
1279,0.4856,0.0557,26.878,0.0,0.0464,0.0,374.31,241.99
1280,0.3142,0.0607,27.9044,0.0,0.0437,0.0,374.33,244.31
1281,0.4406,0.0718,31.2437,0.0,0.0656,0.0,374.35,246.63
1282,0.409,0.0413,26.0701,0.0,0.1554,0.0047,374.37,248.96
1283,0.3313,0.0914,24.0041,0.0748,1.1648,0.0,374.39,251.3
1284,0.3619,0.0,25.0949,0.0734,0.8221,0.0101,374.42,253.62
1285,0.2623,0.0365,27.465,0.0,0.4018,0.0,374.44,255.96
1286,0.1968,0.0522,26.0736,0.0,0.2175,0.0,374.46,258.31
1287,0.3744,0.0434,27.7606,0.0,0.0597,0.0,374.48,260.65
1288,0.5324,0.0601,26.7061,0.0,0.0387,0.0,374.51,262.99
1289,0.2713,0.0271,27.3688,0.0,0.0812,0.0098,374.53,265.35
1290,0.2173,0.0148,27.7737,0.0,0.2154,0.0,374.54,267.72
1291,0.2156,0.0393,29.3895,0.0,0.1468,0.0,374.58,270.06
1292,0.2494,0.0517,28.9924,0.0,0.0487,0.0,374.59,272.44
1293,0.3159,0.0201,27.8804,0.0,0.0155,0.0,374.62,274.8
1294,0.5001,0.0461,26.5927,0.0,0.0223,0.0,374.64,277.17
1295,0.3352,0.037,26.8199,0.0072,0.0271,0.0,374.66,279.55
1296,0.4889,0.0219,29.2577,0.0015,0.0265,0.0,374.69,281.92
1297,0.5927,0.0481,34.891,0.0,0.0537,0.0,374.72,284.3
1298,0.4848,0.0388,28.5064,0.0,0.0,0.0,374.73,286.69
1299,0.6666,0.0996,32.351,0.0,0.0378,0.0,374.75,289.09
1300,0.4368,0.0259,33.8279,0.0,0.0,0.0,374.77,291.48
1301,0.3262,0.0,27.7959,0.0,0.2421,0.0,374.78,293.88
1302,0.1922,0.0436,24.4912,0.052,0.7069,0.0073,374.82,296.28
1303,0.4583,0.1,22.4217,0.0743,1.1208,0.0242,374.85,298.68
1304,0.3356,0.0641,21.3342,0.1237,1.0914,0.0,374.85,301.09
1305,0.2813,0.0256,21.0074,0.1536,1.056,0.0,374.89,303.51
1306,0.325,0.0231,20.9774,0.0987,1.217,0.0214,374.91,305.92
1307,0.4236,0.0198,22.0864,0.1258,1.1452,0.0064,374.94,308.35
1308,0.2829,0.0244,23.9729,0.0339,0.4091,0.0174,374.97,310.78
1309,0.5319,0.0305,27.6339,0.0,0.207,0.0,374.99,313.21
1310,0.2555,0.0866,23.9091,0.0,0.2195,0.0067,375.0,315.63
1311,0.6239,0.1107,28.9767,0.0,0.1189,0.0,375.03,318.07
1312,0.318,0.0402,26.8444,0.0,0.0572,0.0,375.05,320.51
1313,0.6995,0.0481,33.8682,0.0,0.0616,0.0,375.07,322.95
1314,0.4971,0.0513,26.919,0.039,0.1813,0.008,375.1,325.41
1315,0.4054,0.0437,23.2178,0.9732,0.8903,0.0,375.12,327.85
1316,0.2266,0.0299,20.8756,1.0328,1.1825,0.0195,375.15,330.32
1317,0.4796,0.0486,23.6101,0.087,0.7758,0.0197,375.17,332.78
1318,0.5522,0.0209,25.5429,0.0615,0.3853,0.0094,375.19,335.25
1319,0.384,0.0,24.3416,0.0632,0.7038,0.0118,375.22,337.71
1320,0.3203,0.0901,22.4363,0.1116,1.1198,0.0172,375.24,340.19
1321,0.2383,0.0095,22.1726,0.4955,1.0802,0.0115,375.27,342.67
1322,0.6442,0.1185,19.5738,0.2778,1.9065,0.0381,375.29,345.14
1323,0.7068,0.0384,21.2349,0.1563,1.5676,0.0157,375.31,347.63
1324,0.4308,0.0257,24.0043,0.0986,0.8728,0.0129,375.34,350.13
1325,0.2894,0.0284,25.8643,0.0112,0.4045,0.0,375.36,352.62
1326,0.4433,0.0438,21.0232,0.0653,0.6976,0.0187,375.38,355.12
1327,0.3921,0.059,24.073,0.081,0.7606,0.0,375.41,357.61
1328,0.4391,0.0693,24.5158,0.0747,0.6885,0.0,375.43,360.12
1329,0.2668,0.0414,21.9876,0.0701,1.2327,0.0257,375.46,362.63
1330,0.2737,0.024,21.4978,0.0836,1.267,0.0163,375.48,365.15
1331,0.1687,0.0505,22.426,0.0104,0.5846,0.0013,375.51,367.67
1332,0.5237,0.0,22.546,0.0361,0.2693,0.0164,375.53,370.19
1333,0.4741,0.0469,25.6998,0.0231,0.5427,0.0,375.55,372.72
1334,0.2763,0.0377,24.1552,0.101,1.0627,0.0,375.58,375.24
1335,0.1935,0.044,22.1189,0.3035,1.1036,0.0,375.6,377.78
1336,0.4014,0.0134,19.3581,0.2047,1.7704,0.0347,375.62,380.32
1337,0.5633,0.011,23.5281,0.0,0.3334,0.0163,375.65,382.86
1338,0.3627,0.0,22.5699,0.0365,0.6267,0.0,375.67,385.41
1339,0.38,0.0281,23.1917,0.085,0.9447,0.025,375.7,387.96
1340,0.2844,0.0194,23.7159,0.0,0.7836,0.0,375.72,390.52
1341,0.46,0.007,21.4735,0.1286,0.9591,0.0286,375.75,393.08
1342,0.1795,0.0364,18.943,0.1724,1.4873,0.0333,375.77,395.65
1343,0.2977,0.0095,20.8606,0.1151,1.1238,0.0097,375.79,398.21
1344,0.167,0.0394,26.6922,0.0,0.2115,0.0015,375.82,400.79
1345,0.3738,0.0,29.4502,0.0,0.1567,0.0,375.84,403.37
1346,0.3527,0.0748,28.3291,0.0,0.0401,0.0,375.87,405.95
1347,0.3739,0.0436,25.628,0.0644,0.5105,0.0088,375.89,408.54
1348,0.4374,0.0482,25.0355,0.0196,0.6754,0.0,375.92,411.13
1349,0.4788,0.0496,26.3462,0.0,0.1621,0.0,375.94,413.72
1350,0.356,0.0568,25.0779,0.0285,0.2685,0.0139,375.97,416.32
1351,0.3404,0.0405,25.5394,0.002,0.1998,0.0,373.42,416.33
1352,0.5935,0.0211,28.3842,0.0,0.1447,0.0,373.4,413.73
1353,0.3621,0.0298,26.0527,0.0,0.2529,0.0033,373.38,411.14
1354,0.2301,0.0272,26.085,0.025,0.3985,0.0,373.36,408.55
1355,0.3989,0.0186,25.8658,0.0007,0.198,0.0,373.33,405.96
1356,0.2285,0.0105,24.1189,0.0,0.3293,0.0005,373.31,403.38
1357,0.238,0.0558,26.9065,0.0128,0.235,0.0,373.29,400.8
1358,0.4417,0.0468,20.827,0.1365,1.2373,0.0309,373.27,398.23
1359,0.1463,0.0145,17.5184,0.1519,1.314,0.022,373.24,395.66
1360,0.6411,0.004,19.3571,0.1189,1.3826,0.0426,373.22,393.09
1361,0.3877,0.0754,25.6949,0.0249,0.2457,0.0155,373.2,390.53
1362,0.358,0.0396,24.6472,0.003,0.3009,0.0099,373.18,387.97
1363,0.4446,0.0457,27.5149,0.0171,0.1884,0.0,373.15,385.42
1364,0.2857,0.0039,24.664,0.006,0.2797,0.0,373.13,382.87
1365,0.4231,0.1081,23.3573,0.0715,0.8793,0.0174,373.11,380.34
1366,0.4161,0.0433,23.326,0.0392,0.5042,0.0119,373.09,377.8
1367,0.4658,0.0188,22.9673,0.0973,1.1969,0.0087,373.07,375.26
1368,0.356,0.0045,24.3929,0.0983,0.9998,0.0289,373.04,372.73
1369,0.4004,0.0205,27.2428,0.0,0.1879,0.0,373.02,370.2
1370,0.3816,0.0,26.3551,0.029,0.2555,0.0,373.0,367.68
1371,0.2837,0.0447,25.177,0.043,0.586,0.0064,372.98,365.16
1372,0.4537,0.0,23.6483,0.0,0.3696,0.0062,372.96,362.65
1373,0.4229,0.0594,19.7974,0.0,0.5552,0.0,372.94,360.14
1374,0.3668,0.056,22.2537,0.033,0.4533,0.0,372.91,357.62
1375,0.3084,0.0427,21.1292,0.1238,1.3039,0.0389,372.89,355.12
1376,0.3126,0.0417,23.8733,0.0197,0.3176,0.0,372.87,352.63
1377,0.4741,0.0117,28.7506,0.0,0.1453,0.0,372.85,350.13
1378,0.6866,0.0362,25.7582,0.0,0.3089,0.0085,372.82,347.64
1379,0.4073,0.0166,21.9479,0.0414,0.8216,0.016,372.8,345.15
1380,0.2709,0.0364,23.052,0.0199,0.4164,0.0112,372.78,342.68
1381,0.2707,0.0596,25.9402,0.029,0.5171,0.0,372.76,340.19
1382,0.6805,0.0559,26.6257,0.0023,0.3638,0.0132,372.74,337.72
1383,0.2927,0.0592,27.3039,0.0,0.216,0.0,372.72,335.25
